June 2010
Area,Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30

Houston-Galveston-Brazoria
,Houston East C1/G316,2,Reg,49,35,30,42,41,33,22,29,22,19,15,15,17,23,28,34,23,26,28,37,46,51,34,54,30,36,31,29,30,13
,Houston Aldine C8/AF108/X150 ,2,Reg,65,40,35,49,52,47,32,37,27,23,17,18,22,27,38,42,28,33,41,50,63,61,NV,50,43,46,44,37,NV,21
,Channelview C15/AH115 ,3,Reg,46,36,35,46,41,38,27,28,22,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Northwest Harris Co. C26/A110/X154,2,Reg,61,40,39,52,48,45,36,35,30,27,24,22,24,28,33,40,27,29,39,39,59,61,47,31,42,44,42,35,36,23
,Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,46,38,41,54,41,41,33,39,23,20,16,16,18,23,31,32,22,27,28,32,41,52,41,46,36,37,33,33,35,22
,Seabrook Friendship Park C45,1,Reg,40,36,44,59,38,36,35,32,21,19,15,16,19,20,29,29,19,22,23,29,36,48,38,30,38,34,31,29,31,22
,Houston Bayland Park C53/A146 ,1,Reg,43,34,37,53,43,32,28,32,22,22,16,15,18,20,24,34,20,21,28,26,34,39,34,35,30,31,31,28,40,19
,Conroe Relocated C78/A321,1,Reg,68,43,36,42,54,47,28,28,22,32,30,28,28,38,43,49,36,41,47,45,66,60,46,33,49,42,50,25,27,20
,Houston Regional Office C81,1,Reg,40,31,31,46,39,29,19,25,19,16,12,13,17,19,26,29,19,20,25,28,34,38,28,31,26,34,28,NV,29,14
,Manvel Croix Park C84,1,Reg,41,33,39,56,40,31,30,32,24,19,15,16,18,22,32,32,23,23,25,24,31,38,33,29,31,31,30,25,33,23
,Clinton C403/C304/AH113 ,3,Reg,44,31,29,49,40,33,25,34,21,18,13,14,18,20,28,28,21,22,25,31,38,43,33,40,31,36,30,26,34,19
,Houston North Wayside C405/C1033,1,Reg,48,31,26,43,40,35,23,29,21,18,14,15,18,21,25,32,21,23,30,37,45,45,28,45,30,36,32,29,29,17
,Houston Monroe C406,1,Reg,36,31,34,45,35,29,27,30,21,20,14,14,16,20,26,27,21,21,22,23,28,38,33,28,29,31,25,24,32,20
,Lang C408,2,Reg,46,36,36,46,46,39,21,25,22,21,17,17,19,22,29,38,22,25,32,30,44,46,33,NV,NV,34,33,35,31,17
,Houston Croquet C409,2,Reg,41,33,37,54,42,31,28,NV,23,22,16,15,18,20,26,33,20,21,28,24,30,38,34,32,32,31,31,25,41,20
,Houston Westhollow C410/C3003,1,Reg,41,33,39,53,44,34,28,32,21,19,16,17,18,21,24,33,20,21,24,26,32,39,28,33,28,31,29,28,40,20
,Houston Texas Avenue C411,1,Reg,40,29,28,41,39,32,21,26,21,18,14,14,17,20,26,29,20,20,24,27,35,40,30,30,29,35,29,29,35,18
,Park Place C416,1,Reg,45,35,35,50,NV,NA,NA,NV,24,21,16,16,19,23,30,32,23,24,26,28,35,45,37,33,32,38,31,28,35,19
,Sheldon C551,1,Non,55,37,37,48,46,43,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,38,42,28,30,19
,Baytown Wetlands Center C552,1,Non,43,37,43,51,39,36,32,28,23,20,16,17,21,21,33,31,21,24,30,33,40,45,38,32,36,33,33,27,35,21
,Crosby Library C553,1,Non,69,52,49,50,56,49,NV,NA,NA,NA,NA,NA,NA,NA,NV,46,28,38,47,47,60,56,39,52,40,37,41,28,32,20
,West Houston C554,1,Non,48,33,39,52,44,40,26,33,24,23,19,19,21,24,28,39,24,25,32,28,43,47,35,37,33,35,34,32,41,22
,Mercer Arboretum C557,1,Non,73,45,38,46,58,53,31,35,29,28,23,24,NV,36,45,52,34,42,50,57,71,69,50,54,47,49,51,23,32,22
,Tom Bass C558,1,Non,37,33,37,52,38,29,26,29,21,17,14,15,18,20,29,30,21,21,23,24,30,38,33,29,30,30,27,27,35,20
,Katy Park C559,1,Non,43,32,36,52,40,32,27,32,23,19,14,15,17,19,23,30,18,19,22,26,39,39,34,29,33,31,33,25,41,22
,Atascocita C560,1,Non,66,43,39,46,52,45,27,33,26,23,19,21,23,29,NV,NV,31,37,43,53,70,69,44,69,41,42,48,33,31,NV
,Meyer Park C561,1,Non,62,37,39,48,52,47,35,34,30,26,23,21,23,31,36,46,31,35,42,43,60,61,46,42,44,48,42,37,34,22
,Bunker Hill Village C562,1,Non,47,36,35,51,47,38,23,27,22,22,17,16,19,23,26,35,22,23,29,30,38,44,32,35,25,30,31,30,37,17
,Clear Brook High School C570,1,Non,37,32,39,53,37,28,30,31,22,19,14,15,17,20,29,25,20,22,21,25,30,44,34,30,32,32,27,25,29,20
,Clear Creek High School C571,1,Non,36,33,42,57,34,29,32,31,18,17,15,15,17,19,29,28,19,21,21,29,29,48,35,33,37,34,29,32,29,22
,Clear Lake High School C572,1,Non,41,36,42,56,39,36,33,33,21,18,15,15,17,20,29,29,20,23,23,29,31,48,37,33,36,34,31,31,32,22
,HRM-3 Haden Road C603/A114 ,1,Non,47,33,32,46,36,29,NV,NA,NA,NA,NV,13,16,21,28,33,21,25,28,35,43,50,32,55,30,33,31,23,33,17
,Wallisville Road C617 ,1,Non,55,42,47,48,47,42,31,34,28,25,20,19,24,29,37,39,24,33,38,43,48,49,39,60,41,35,34,32,37,22
,Danciger C618 ,1,Non,34,31,43,51,37,25,29,38,23,20,18,17,19,20,26,28,21,20,22,21,24,31,29,26,27,30,29,27,31,26
,Mustang Bayou C619 ,1,Non,33,35,43,50,37,28,29,29,21,19,17,15,19,21,30,28,21,22,20,20,24,35,30,26,27,25,25,24,24,20
,Texas City 34th St. C620 ,1,Non,32,33,44,57,33,27,29,27,18,16,13,13,17,20,28,25,19,18,17,19,28,45,33,28,30,28,27,28,25,20
,UH Moody Tower C695,1,Non,49,40,43,58,49,42,32,36,31,27,21,20,24,28,36,39,28,29,31,34,43,51,44,40,38,44,35,41,42,24
,U of H-Sugarland C696,1,Non,NA,NA,NV,50,40,30,34,35,20,18,15,16,18,20,24,29,19,NV,22,25,34,35,30,29,29,30,29,26,44,22
,UH Coastal Center C697,1,Non,33,38,43,56,36,29,32,29,21,19,16,16,18,18,30,27,19,20,17,19,28,43,37,32,30,28,27,29,26,22
,UH WG Jones Forest C698,1,Non,82,48,39,53,63,60,35,36,32,36,33,33,31,43,NV,NV,41,47,58,58,80,80,60,42,62,54,60,35,36,25
,UH West Liberty C699,1,Non,47,41,38,33,44,41,21,28,26,21,18,17,22,29,34,39,25,35,41,38,49,43,33,38,37,32,31,27,28,19
,Lynchburg Ferry C1015/A165 ,1,Reg,46,41,39,48,40,38,32,35,25,20,18,16,20,21,30,32,23,26,29,36,49,48,42,52,42,34,37,29,37,23
,Lake Jackson C1016 ,1,Reg,30,28,43,45,33,24,27,32,18,16,15,15,16,17,26,25,16,17,17,17,20,31,24,25,26,26,25,21,24,18
,Galveston 99th St. C1034/A320/X183,1,Reg,34,38,40,55,40,28,NV,27,19,17,15,15,17,23,28,25,18,16,18,18,29,39,34,15,22,25,23,24,18,NA

July 2010
Area,Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,La Porte Sylvan Beach C556,1,Non,50,72,67,66,64,56,47,33,33,43,30,41,49,46,66,61,55,57,57,45,42,44,45,34,38,34,62,58,48,68,58
,Mercer Arboretum C557,1,Non,50,59,63,65,66,56,37,22,28,33,27,45,44,43,55,59,56,57,54,42,50,51,48,39,45,23,41,38,46,49,56
,Tom Bass C558,1,Non,47,57,55,57,56,48,32,22,26,23,21,37,41,44,55,53,50,49,45,34,33,32,33,25,29,24,52,56,61,53,46
,Katy Park C559,1,Non,51,NV,NA,NA,NV,50,33,24,33,26,25,45,45,46,52,56,53,52,48,36,40,37,36,28,32,26,52,44,49,54,51
,Atascocita C560,1,Non,47,59,64,63,63,53,39,24,27,30,29,43,44,41,55,58,55,56,51,41,44,46,44,37,41,25,46,36,41,50,52
,Meyer Park C561,1,Non,52,58,62,63,65,55,38,24,29,31,26,46,44,44,55,58,56,54,52,40,46,47,43,37,41,21,42,42,43,53,56
,Bunker Hill Village C562,1,Non,60,64,65,67,65,56,38,24,30,28,28,45,46,44,53,55,52,50,48,35,40,36,37,29,31,21,45,47,49,57,46
,Huffman Wolf Road C563,1,Non,47,59,64,64,65,53,39,25,NV,25,24,44,44,39,54,59,52,52,51,42,39,40,41,35,34,26,45,34,36,48,47
,HRM-3 Haden Road C603/A114 ,1,Non,51,66,68,67,66,50,34,22,24,32,27,44,47,44,64,61,56,53,48,37,40,41,39,30,38,25,55,48,50,61,57
,Wallisville Road C617 ,1,Non,56,76,75,71,68,59,45,29,36,32,29,48,53,47,71,66,58,63,58,46,44,46,47,37,43,34,58,46,45,70,61
,Danciger C618 ,1,Non,51,64,64,64,62,53,35,26,32,24,23,33,44,35,56,55,51,49,46,39,NV,33,38,27,30,26,58,54,55,55,49
,Mustang Bayou C619 ,1,Non,54,65,63,64,63,55,43,32,35,33,26,37,50,NV,62,61,56,55,53,47,39,37,39,33,34,32,64,47,82,59,53
,Texas City 34th St. C620 ,1,Non,51,71,64,65,64,57,45,30,32,37,28,36,NV,46,65,58,55,57,54,46,42,39,42,33,35,34,61,51,62,60,58
,UH Moody Tower C695,1,Non,56,69,69,67,67,58,40,29,35,32,26,47,48,49,66,63,60,59,55,43,43,41,42,34,39,29,65,57,68,69,63
,U of H-Sugarland C696,1,Non,55,58,59,60,59,47,34,25,30,25,24,41,45,45,57,57,52,52,46,37,36,33,34,25,29,22,55,NV,49,55,46
,UH Coastal Center C697,1,Non,47,67,62,63,61,55,42,31,31,35,26,37,48,48,63,58,53,55,52,47,43,38,40,32,34,34,57,45,NV,55,51
,UH WG Jones Forest C698,1,Non,57,64,69,69,77,65,43,27,37,37,33,50,47,49,60,64,62,64,62,49,58,60,56,48,50,29,50,44,48,52,56
,UH West Liberty C699,1,Non,57,74,80,78,76,64,48,32,37,NA,NA,NV,40,48,69,74,65,66,63,51,48,48,51,43,43,34,56,44,45,61,61
,Lynchburg Ferry C1015/A165 ,1,Reg,46,61,59,59,61,51,38,24,24,30,24,37,40,39,57,53,50,51,47,40,36,38,39,28,36,29,51,39,36,55,51
,Lake Jackson C1016 ,1,Reg,56,62,61,62,60,50,NV,25,27,23,20,NV,NV,48,58,56,50,52,47,38,32,30,34,26,26,25,58,36,57,53,46
,Baytown Garth C1017,1,Reg,52,70,69,67,65,57,44,30,35,33,27,45,49,43,65,61,55,59,52,42,42,43,44,35,40,33,54,43,42,66,57
,Galveston 99th St. C1034/A320/X183,1,Reg,50,68,60,65,65,56,47,31,36,42,29,35,48,45,62,59,55,57,56,49,46,42,40,35,34,34,63,41,71,58,49

June 2014
Area,Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30

Houston-Galveston-Brazoria
,Houston East C1/G316,2,Reg,36,29,27,33,22,24,24,22,16,52,61,23,43,33,21,22,22,18,36,42,32,20,18,20,13,16,20,13,17,22
,Houston Aldine C8/AF108/X150 ,2,Reg,34,32,29,35,23,26,26,22,15,51,75,30,52,38,23,22,26,18,40,48,35,20,19,20,13,15,20,14,18,24
,Channelview C15/AH115 ,3,Reg,28,22,20,27,20,20,18,21,15,55,59,18,38,31,18,19,18,14,29,33,32,22,19,19,12,15,17,11,15,20
,Northwest Harris Co. C26/A110/X154,2,Reg,28,37,34,NV,20,NV,19,NV,17,43,46,24,NV,26,20,21,NV,NV,NA,NV,19,17,22,16,13,18,21,14,16,21
,Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,30,26,24,28,18,18,19,19,17,54,49,17,36,26,17,NV,NV,18,34,40,24,20,18,19,13,16,20,14,15,18
,Seabrook Friendship Park C45,1,Reg,31,26,25,26,15,20,14,15,16,56,47,16,32,25,16,21,17,18,33,36,24,18,18,17,16,20,21,13,14,14
,Houston Bayland Park C53/A146 ,1,Reg,35,30,NV,25,14,19,14,15,15,49,54,17,41,24,17,19,18,19,27,31,NV,NA,NV,18,16,NV,18,15,15,16
,Conroe Relocated C78/A321,1,Reg,32,29,31,56,37,47,44,27,26,51,67,40,51,54,37,36,40,29,46,56,41,24,30,28,25,23,31,21,26,39
,Manvel Croix Park C84,1,Reg,30,27,22,24,18,21,17,17,16,54,39,17,35,23,19,19,21,20,27,30,23,17,19,17,16,18,19,15,16,19
,Clinton C403/C304/AH113 ,3,Reg,33,25,23,21,15,17,19,21,11,41,42,15,29,27,19,15,15,11,25,28,25,17,11,12,10,14,15,11,15,14
,Houston North Wayside C405/C1033,1,Reg,39,33,28,31,22,24,24,22,13,48,64,23,44,34,24,23,24,17,38,42,32,20,17,19,11,15,20,14,17,20
,Houston Monroe C406,1,Reg,36,30,27,27,21,22,20,22,18,56,49,19,33,28,20,21,21,18,28,34,25,20,19,18,13,18,20,14,16,16
,Lang C408,2,Reg,41,34,30,29,19,24,21,21,17,49,64,25,53,31,21,21,21,20,26,37,29,21,19,19,16,19,20,15,17,20
,Houston Croquet C409,2,Reg,36,31,27,28,17,24,17,17,16,52,49,19,41,26,19,21,20,20,28,32,24,18,20,18,16,19,20,17,17,19
,Houston Westhollow C410/C3003,1,Reg,41,34,30,30,19,21,20,19,18,49,49,20,47,25,20,21,21,22,27,31,23,19,21,19,18,19,19,16,16,21
,Houston Texas Avenue C411,1,Reg,36,28,26,25,18,19,20,19,13,45,53,19,36,29,20,19,21,17,27,33,26,17,16,16,12,15,17,13,15,20
,Park Place C416,1,Reg,37,29,24,27,19,22,21,21,NA,NV,51,20,36,30,21,20,22,17,31,35,26,19,19,19,12,17,19,15,17,19
,Sheldon C551,1,Non,37,33,31,41,30,32,32,32,25,60,70,30,49,43,29,30,30,23,40,44,42,31,29,26,19,23,26,22,25,29
,Baytown Wetlands Center C552,1,Non,27,23,22,26,17,23,17,17,16,55,51,16,29,28,18,20,19,18,31,33,26,17,16,17,13,16,20,11,15,15
,Crosby Library C553,1,Non,28,27,24,38,25,31,26,24,18,52,72,27,49,40,23,25,25,21,33,36,39,24,21,20,14,13,21,14,19,24
,West Houston C554,1,Non,NA,NA,NV,28,17,19,17,17,15,42,43,19,44,24,20,20,18,18,23,28,20,15,16,14,13,15,15,13,13,17
,La Porte Sylvan Beach C556,1,Non,31,28,NV,NA,19,24,18,19,19,60,52,20,36,30,20,25,22,22,34,39,27,21,20,NV,NA,NA,NA,NA,NA,NA
,Mercer Arboretum C557,1,Non,32,31,28,41,25,30,33,25,18,45,70,34,59,44,27,24,28,19,43,52,36,25,21,20,14,16,22,14,18,26
,Tom Bass C558,1,Non,28,25,23,24,16,15,16,16,14,45,37,14,31,21,16,17,17,17,25,28,20,15,16,15,13,14,17,12,12,16
,Katy Park C559,1,Non,44,35,34,25,17,19,19,18,17,45,46,19,41,25,19,18,19,21,25,29,22,18,21,18,17,19,18,16,16,19
,Atascocita C560,1,Non,31,27,26,43,26,31,29,25,16,46,73,29,55,41,24,25,27,16,38,44,35,22,21,22,14,16,22,14,19,25
,Meyer Park C561,1,Non,39,37,34,36,24,25,28,21,19,45,61,33,55,37,23,25,25,21,40,48,32,23,17,19,13,18,21,15,18,25
,Bunker Hill Village C562,1,Non,35,32,28,27,17,19,19,18,16,45,54,21,45,26,19,21,20,21,27,33,24,19,18,18,15,17,19,15,15,19
,Huffman Wolf Road C563,1,Non,26,24,24,37,26,32,30,24,20,45,72,29,46,39,23,24,27,22,15,30,31,NV,NA,23,14,NV,NA,15,20,24
,HRM-3 Haden Road C603/A114 ,1,Non,34,28,24,33,22,21,23,22,16,53,62,20,42,33,19,19,21,16,34,41,33,21,19,21,14,13,18,10,15,20
,Wallisville Road C617 ,1,Non,32,29,26,34,23,30,24,23,22,63,78,26,43,38,24,26,25,23,39,39,37,23,22,28,15,21,26,17,21,22
,Danciger C618 ,1,Non,38,27,24,22,16,17,15,15,17,50,30,15,28,17,17,18,17,19,22,22,19,16,19,13,16,18,16,15,14,17
,Mustang Bayou C619 ,1,Non,29,29,22,24,18,18,16,17,18,51,31,17,33,19,17,20,18,18,29,29,22,18,18,17,22,23,23,17,16,17
,Texas City 34th St. C620 ,1,Non,32,29,26,25,19,20,15,17,17,57,39,15,30,27,18,22,18,19,33,34,21,18,18,18,20,20,24,17,18,18
,UH Moody Tower C695,1,Non,42,34,31,32,23,23,23,NV,18,57,61,22,43,34,23,23,24,22,34,40,30,20,22,NV,18,NV,NV,17,18,24
,U of H-Sugarland C696,1,Non,34,30,25,27,16,16,17,16,16,48,40,16,38,20,16,19,17,20,23,25,19,17,18,15,18,17,17,14,13,17
,UH Coastal Center C697,1,Non,30,29,25,24,17,19,15,16,17,57,36,15,32,21,18,21,18,18,31,32,20,17,17,17,19,22,23,18,18,16
,UH WG Jones Forest C698,1,Non,35,33,32,50,NV,40,39,27,24,52,NV,42,NV,52,33,30,34,24,48,59,39,26,28,25,NV,23,30,19,23,35
,UH West Liberty C699,1,Non,35,32,31,44,33,NV,21,NA,NV,39,62,29,NV,NV,24,24,26,NV,NV,42,47,29,30,34,20,22,27,21,25,32
,Lynchburg Ferry C1015/A165 ,1,Reg,26,23,22,26,19,21,16,19,17,49,52,16,34,29,18,21,18,16,30,33,28,20,18,19,16,17,19,14,14,19
,Lake Jackson C1016 ,1,Reg,25,NV,20,22,17,17,14,16,17,44,24,15,29,16,16,19,17,18,25,23,17,16,19,17,18,20,19,16,16,17
,Baytown Garth C1017,1,Reg,31,27,25,33,23,29,23,22,20,57,72,25,40,36,23,26,24,22,36,37,35,23,21,27,16,NV,NV,17,23,23
,Galveston 99th St. C1034/A320/X183,1,Reg,27,25,25,23,18,18,15,15,17,44,30,14,33,30,18,19,18,18,30,34,23,18,21,21,NV,27,27,NV,NV,21

July 2014
Area,Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31

Houston-Galveston-Brazoria
,Houston East C1/G316,2,Reg,28,43,46,51,53,50,30,21,32,32,31,58,48,45,38,51,12,24,38,41,36,54,65,75,53,25,25,54,24,58,28
,Houston Aldine C8/AF108/X150 ,2,Reg,36,51,39,42,55,51,44,25,38,34,37,66,53,48,38,58,12,32,33,37,47,53,55,72,61,28,30,43,28,68,33
,Channelview C15/AH115 ,3,Reg,26,45,38,44,45,50,29,16,25,30,26,45,55,46,37,60,11,23,28,32,32,54,57,63,53,23,25,47,31,48,27
,Northwest Harris Co. C26/A110/X154,2,Reg,23,26,29,29,42,37,26,21,30,27,32,33,32,32,26,37,11,21,28,27,24,29,NV,NV,48,25,25,NV,36,66,27
,Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,21,34,42,46,46,41,24,21,25,25,24,44,36,34,40,41,14,23,41,44,26,40,57,70,41,19,19,44,28,48,24
,Seabrook Friendship Park C45,1,Reg,18,31,37,48,47,42,26,19,22,25,24,40,39,31,44,47,16,21,31,34,23,34,59,68,38,19,22,33,27,49,28
,Houston Bayland Park C53/A146 ,1,Reg,NA,NV,56,59,41,36,24,21,22,25,22,38,37,39,43,44,13,27,52,57,29,46,57,50,42,19,22,34,26,55,23
,Conroe Relocated C78/A321,1,Reg,48,25,29,36,53,59,45,34,55,42,65,50,43,50,44,59,27,27,28,33,58,43,51,50,63,34,33,32,39,72,36
,Manvel Croix Park C84,1,Reg,21,23,49,53,41,36,22,19,27,28,21,32,33,32,43,39,16,23,53,40,23,31,54,51,35,19,18,32,39,49,21
,Clinton C403/C304/AH113 ,3,Reg,NV,35,44,51,40,41,21,14,22,22,19,48,37,31,28,30,10,21,41,42,24,41,54,65,36,19,19,45,21,47,17
,Houston North Wayside C405/C1033,1,Reg,29,44,40,47,49,47,34,18,32,30,32,61,51,45,39,42,10,24,30,35,36,53,51,68,52,23,24,41,24,57,25
,Houston Monroe C406,1,Reg,21,28,NV,44,38,36,22,19,24,25,18,39,32,31,32,35,13,21,44,50,22,35,53,62,35,18,17,36,26,50,19
,Lang C408,2,Reg,32,47,49,47,50,41,33,20,32,31,30,51,44,39,39,48,12,27,46,49,36,50,62,60,53,24,28,35,26,60,28
,Houston Croquet C409,2,Reg,22,34,54,65,42,35,25,21,23,26,21,35,35,36,40,41,14,26,57,47,26,44,52,49,40,19,21,34,30,51,23
,Houston Westhollow C410/C3003,1,Reg,25,36,55,56,44,38,26,21,28,25,26,35,39,36,42,39,16,28,53,49,26,40,49,48,40,21,20,31,30,49,24
,Houston Texas Avenue C411,1,Reg,23,40,47,51,44,39,27,17,29,27,23,49,39,37,37,40,12,25,37,47,NV,49,NV,NA,NV,21,21,NV,24,51,23
,Park Place C416,1,Reg,24,NV,50,NV,NA,NA,NV,21,29,28,22,51,39,39,36,37,14,24,52,61,28,44,61,68,43,22,20,45,27,55,23
,Sheldon C551,1,Non,37,54,43,49,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,36,36,47,41,18,23,37,22,38,20
,Baytown Wetlands Center C552,1,Non,21,43,36,42,43,47,27,20,25,26,24,35,44,34,36,44,16,20,28,33,26,47,49,54,44,20,21,45,28,44,27
,Crosby Library C553,1,Non,37,48,31,40,47,52,37,25,40,38,32,44,54,45,35,58,16,28,23,30,44,44,46,42,NV,30,34,48,28,50,34
,West Houston C554,1,Non,23,28,38,43,37,31,20,15,23,21,22,31,32,27,33,33,10,21,37,37,22,33,43,38,34,17,18,22,23,43,19
,La Porte Sylvan Beach C556,1,Non,NV,38,41,49,49,52,29,23,27,29,28,41,43,36,50,53,18,24,32,36,31,44,58,71,45,23,24,43,29,55,33
,Mercer Arboretum C557,1,Non,41,44,36,36,48,48,43,31,45,38,47,61,50,44,31,60,14,24,28,29,52,42,46,57,63,28,30,31,28,66,31
,Tom Bass C558,1,Non,17,22,43,47,35,31,18,16,24,23,18,31,28,28,33,33,13,21,46,41,19,31,47,49,32,17,16,31,27,48,17
,Katy Park C559,1,Non,22,28,39,50,45,35,25,19,23,26,30,33,35,33,31,35,16,25,41,39,24,38,43,42,36,20,21,28,31,45,24
,Atascocita C560,1,Non,35,47,31,38,45,49,40,27,40,36,45,50,50,47,31,53,14,24,25,30,46,43,45,59,62,30,32,40,28,55,32
,Meyer Park C561,1,Non,38,38,38,36,50,40,34,25,38,32,39,62,40,39,42,55,13,28,35,35,42,41,53,56,57,25,24,28,32,68,28
,Bunker Hill Village C562,1,Non,24,36,49,48,37,33,28,17,25,26,23,35,36,35,37,37,12,25,44,48,30,40,54,48,44,20,22,35,26,50,23
,Huffman Wolf Road C563,1,Non,37,36,26,33,45,48,39,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NV,NA,NA,NA,NA,NA,NA,NA,NA
,Clear Brook High School C570,1,Non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,42,38,15,24,44,49,23,33,61,73,38,21,23,37,37,57,24
,Clear Creek High School C571,1,Non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,53,33
,Clear Lake High School C572,1,Non,NA,NA,NA,NA,NA,NA,NA,NA,NV,27,24,42,37,31,46,40,NV,NA,NA,NA,NV,35,56,NA,NA,NV,22,35,31,48,27
,HRM-3 Haden Road C603/A114 ,1,Non,25,44,47,51,47,48,32,19,32,33,29,54,49,44,NV,54,11,22,39,39,32,50,64,73,53,22,24,54,NV,55,26
,Wallisville Road C617 ,1,Non,34,53,44,53,53,59,38,25,37,37,30,49,67,54,42,61,20,27,34,39,47,58,61,60,66,27,30,54,25,53,33
,Danciger C618 ,1,Non,17,21,26,49,43,24,21,17,18,28,18,25,27,27,28,28,16,18,40,20,17,24,37,31,22,16,17,21,36,25,15
,Mustang Bayou C619 ,1,Non,18,21,41,55,42,37,23,17,18,27,19,27,34,31,35,33,17,24,45,37,19,23,49,54,28,20,21,22,40,46,18
,Texas City 34th St. C620 ,1,Non,19,25,42,54,52,45,22,16,19,25,23,39,36,29,51,47,15,28,46,37,20,27,56,70,34,19,19,23,41,55,28
,UH Moody Tower C695,1,Non,28,45,60,NV,NV,NV,31,24,34,32,26,59,44,43,46,NV,16,NV,NV,61,34,53,72,76,52,25,23,52,37,63,27
,U of H-Sugarland C696,1,Non,18,27,48,64,40,33,22,18,20,NV,NV,27,31,34,39,NV,14,NV,NV,37,19,35,39,43,32,18,18,27,35,38,21
,UH Coastal Center C697,1,Non,17,20,48,52,40,37,21,16,18,26,19,38,33,27,39,NV,17,NV,NV,36,19,23,50,69,30,18,18,21,40,55,26
,UH WG Jones Forest C698,1,Non,47,33,NV,36,54,54,43,33,53,39,63,58,46,47,46,76,21,NV,NV,36,58,38,52,58,62,31,31,26,40,83,33
,UH West Liberty C699,1,Non,50,46,31,40,57,58,45,38,52,38,36,NV,48,56,36,NV,19,NV,NV,32,56,38,46,50,70,35,NV,40,35,53,43
,Lynchburg Ferry C1015/A165 ,1,Reg,21,53,40,43,42,47,25,16,24,26,24,41,45,40,35,50,14,20,28,38,30,57,50,57,48,20,19,46,24,47,25
,Lake Jackson C1016 ,1,Reg,18,19,28,55,47,28,19,16,17,25,19,25,28,23,27,24,16,22,44,23,17,17,37,34,20,16,16,17,NV,23,13
,Baytown Garth C1017,1,Reg,35,51,43,51,52,54,34,23,35,34,28,45,61,51,39,58,20,26,32,37,44,53,57,55,60,26,29,50,30,51,32
,Galveston 99th St. C1034/A320/X183,1,Reg,19,19,63,62,57,56,28,19,19,28,23,40,35,27,42,59,20,26,58,NV,NV,25,52,74,32,NV,19,NV,48,63,33

August 2014
Area,Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31

Houston-Galveston-Brazoria
,Houston East C1/G316,2,Reg,46,31,34,46,39,43,26,27,22,NV,NA,NA,NA,NA,NV,26,20,23,17,21,23,33,34,51,54,42,40,32,38,52,19
,Houston Aldine C8/AF108/X150 ,2,Reg,42,28,35,37,43,44,28,31,25,30,32,42,40,54,49,23,18,24,18,20,21,34,35,60,45,38,35,36,33,46,20
,Channelview C15/AH115 ,3,Reg,47,32,32,37,32,37,25,26,23,31,43,50,46,52,43,26,20,21,18,23,23,30,33,63,43,38,34,29,36,42,18
,Northwest Harris Co. C26/A110/X154,2,Reg,40,31,37,44,52,50,31,32,24,24,32,50,49,71,46,29,22,28,27,28,25,41,40,52,50,46,46,47,46,49,26
,Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,47,32,34,41,38,35,21,23,21,25,36,52,58,46,36,22,19,21,17,21,20,27,28,40,61,48,41,34,42,40,21
,Seabrook Friendship Park C45,1,Reg,47,33,40,39,35,34,20,20,19,21,34,57,50,48,36,21,19,24,16,21,18,25,25,36,61,48,NV,36,44,36,21
,Houston Bayland Park C53/A146 ,1,Reg,44,39,45,53,35,39,22,23,21,23,36,64,68,65,35,22,18,23,16,20,18,26,28,33,67,55,51,38,35,42,20
,Conroe Relocated C78/A321,1,Reg,40,34,37,37,37,73,47,49,33,32,35,52,44,55,73,35,24,37,29,34,37,63,55,46,41,42,43,45,44,53,32
,Manvel Croix Park C84,1,Reg,48,44,51,54,34,37,21,23,20,24,32,71,82,52,30,23,18,21,19,20,19,26,27,26,76,62,42,35,40,41,22
